title,description,prod_details,ASIN,Manfacturer
"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black","  Laptop Compatibility: Yes, Laptop size: 15.6 inches    Outer Material: Polyester, Color: Black    Water Resistance: Water resistant    Dimensions: 33 cms x 17.5 cms x 47 cms (LxWxH)    Warranty type: Manufacturer; 12 months warranty against manufacturing defects   ","  Is Discontinued By Manufacturer:No   Product Dimensions:83.82 x 44.45 x 119.38 cm; 500 Grams   Date First Available:3 March 2017   Manufacturer:Backpack International Pvt Ltd   ASIN:B01LXNNFDF   Item model number:Havana   Country of Origin:India   Department:Unisex-adult   Manufacturer:Backpack International Pvt Ltd, Backpack International Pvt Ltd, Contact no +919769487901   Packer:Backpack International Pvt Ltd, Contact no +919769487901   Importer:Backpack International Pvt Ltd, Contact no +919769487901   Item Weight:500 g   Item Dimensions LxWxH:83.8 x 44.4 x 119.4 Centimeters   Net Quantity:1.00 count   Generic Name:Laptop Backpack  ",B01LXNNFDF,No
Skybags Brat Black 46 Cms Casual Backpack,"  Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,   ",  Product Dimensions:10.01 x 19.99 x 11.99 cm; 390 Grams   Date First Available:15 March 2021   Manufacturer:VIP Industries Ltd   ASIN:B08Z1HHHTD   Manufacturer:VIP Industries Ltd   Item Weight:390 g   Item Dimensions LxWxH:10 x 20 x 12 Centimeters  ,B08Z1HHHTD,VIP Industries Ltd
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),  Material: Water Resistant Light-Weight Polyester    Compartments: 2 with padding; Laptop Size: 15.6 inch and below    Dimensions: LxWxH - 12.5 x 7.5 x 19 inches    Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders    Closure Type: Zipper   ,"  Product Dimensions:32 x 20 x 47 cm; 530 Grams   Date First Available:1 March 2022   Manufacturer:ADISA   ASIN:B09TPX22NF   Item model number:BP041   Country of Origin:India   Department:Men   Manufacturer:ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com   Packer:ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com   Item Weight:530 g   Item Dimensions LxWxH:32 x 20 x 47 Centimeters   Net Quantity:1.00 count   Included Components:Laptop backpack only   Generic Name:Laptop backpack  ",B09TPX22NF,ADISA
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping","  HIGH QUALITY FABRIC: Our lightweight yet durable bags are made of 100% polyester and water resistant fabric. This casual backpack can be by boys and girls for school, college, coaching, tution, or everyday outings.    FRONT POCKET: Our trendy unisex bag pack has a front storage pocket that keeps small items neatly organized and easy to access    MESH POCKET: Our fancy and stylish backpacks have mesh pockets on both sides to accommodate your water bottle and umbrella    COMFORT: Our 26 liter bag has mesh padding on back to help carry heavy items. It also provides superior comfort with padded adjustable shoulder straps    WARRANTY: All of our bags come with 1-year International Warranty against manufacturing defects   ","  Product Dimensions:32 x 46 x 16 cm; 350 Grams   Date First Available:22 July 2021   Manufacturer:Safari Industries   ASIN:B09B29F66W   Item model number:FLASH19CBBLK   Country of Origin:India   Department:Unisex-adult   Manufacturer:Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059   Packer:302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059   Importer:302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059   Item Weight:350 g   Item Dimensions LxWxH:32 x 46 x 16 Centimeters   Generic Name:Backpack  ",B09B29F66W,Safari Industries
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,"  MATERIAL - We use Highest Quality of Artificial Leather which is Durable, Long Lasting and tested to ensure they don't peel off in just few months. The leather is also water resistant. Inner fabric lining ensured to have a soft touch feel. We use quality zips and accessories that have a long life.    Waterproof - With this unisex duffle bag, you can be rest assured that none of your belongings will be damaged by rain or accidental splashes. The interiors of this water-resistant travel duffle bag remain free from moisture even if you get caught in an unexpected shower.    Dimensions: 47 x 28 x 27 CM. Volume Capacity - 35 Litres. Huge Spacious Compartment    Design - This stylish yet utilitarian textured leatherette duffle bag can be used for corporate travel as well as to take to the gym. The Large Spacious Compartment is suitable for 3-4 days weekender or business trip, can be used as a carry-on flight bag as well.    Warranty - 100% Genuine Fur Jaden Men Bags, 10 days No Question asked replacement guarantee from the date of delivery. 6 Month Manufacturer and Seller Warranty against Manufacturing Defects   ","  Is Discontinued By Manufacturer:No   Product Dimensions:28 x 27 x 47 cm; 900 Grams   Date First Available:20 December 2018   Manufacturer:Fur Jaden   ASIN:B07M9BRCQ5   Item model number:DUFF05   Country of Origin:India   Manufacturer:Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028   Item Weight:900 g   Item Dimensions LxWxH:28 x 27 x 47 Centimeters   Net Quantity:1 count   Included Components:1 Duffle Bag   Generic Name:Duffle Bag  ",B07M9BRCQ5,No
Skybags Polypropylene 46 Cms Travel Bag(DFACN1BLU_Blue),  Spacious Main compartment    Soft Grip handles    Comfertable Shoulder Strap    Easy access front pocket    Stylish Design   ,"  Product Dimensions:25 x 46 x 25 cm; 300 Grams   Date First Available:12 July 2022   Manufacturer:VIP Industries Ltd. DGP House, 5th Floor, 88C Old Prabhadevi Road, Mumbai 400025   ASIN:B0B6CH21F9   Item model number:DFACN1BLU   Country of Origin:Bangladesh   Department:Unisex   Manufacturer:VIP Industries Ltd. DGP House, 5th Floor, 88C Old Prabhadevi Road, Mumbai 400025, VIP Industries Ltd. DGP House, 5th Floor, 88C Old Prabhadevi Road, Mumbai 400025   Packer:VIP Industries Ltd. DGP House, 5th Floor, 88C Old Prabhadevi Road, Mumbai 400025   Importer:VIP Industries Ltd. DGP House, 5th Floor, 88C Old Prabhadevi Road, Mumbai 400025   Item Weight:300 g   Item Dimensions LxWxH:25 x 46 x 25 Centimeters   Net Quantity:1 count   Generic Name:Luggage- Carry-On Luggage  ",B0B6CH21F9,"VIP Industries Ltd. DGP House, 5th Floor, 88C Old Prabhadevi Road, Mumbai 400025"
ADISA Light Weight Laptop Backpack 32 Ltrs,"  Adjustable Shoulder Handles / Two Bottle holders / Padded Handle / Reflector Logo    Dimensions : LxWxH- 31 x 18 x 47 cms    Laptop : 15.6 inches and below (Bigger than 15.6 not recommended)    No. of Compartments : 3 with full padding    NOT INCLUDED : NO RAIN COVER, Laptop, Headphones & Cable (Images only for display)   ","  Product Dimensions:31 x 25 x 46 cm; 430 Grams   Date First Available:28 June 2018   Manufacturer:ADISA   ASIN:B07F3X45WZ   Item model number:BP005   Country of Origin:India   Department:Men   Manufacturer:ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com   Packer:ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com   Item Weight:430 g   Item Dimensions LxWxH:31 x 25 x 46 Centimeters   Net Quantity:1.00 Unit   Included Components:Laptop backpack only   Generic Name:Laptop backpack  ",B07F3X45WZ,ADISA
"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",  Lightweight yet durable backpack/daypack for school use or everyday outings    Front storage pocket keeps smaller items neatly organized and easy to access    Mesh pockets on both sides to accommodate your water bottle and umbrella    Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects    Lining Description: Polyester; Closure Type: Zipper; Age Range Description: Adult   ,"  Product Dimensions:12.6 x 18.11 x 6.3 cm; 350 Grams   Date First Available:22 July 2021   Manufacturer:Safari Industries   ASIN:B09B26MB5M   Item model number:SPARTAN19CBBLU   Country of Origin:India   Department:Unisex-adult   Manufacturer:Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059   Packer:302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059   Importer:302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059   Item Weight:350 g   Item Dimensions LxWxH:12.6 x 18.1 x 6.3 Centimeters   Generic Name:Backpack  ",B09B26MB5M,Safari Industries
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,"  SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 17 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort     COMFORT WITH QUALITY: This Backpack has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers. It also comes with a Rain cover so that you can travel during rainy season without any problem. This backpack be used by everyone be it men? , women? , boys , girls.     SMART & TRENDY LOOKS: This Large rucksack bag is smart, trendy and stylish in looks. The multipurpose rucksack bacpack looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack.     ENDURING & LONG LASTING: This trekking backpack bag is made up of highly durable material, which makes it suitable for all weather conditions including heavy rains and extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself.;Style Name: Casual; Pocket Description: Utility Pocket; Compartment Description: Up To 17 Inches; Age Range Description: Adult;Pattern Name: Solid     OTHER FEATURES: Rain Cover, 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc    ",  Product Dimensions:22 x 30 x 50 cm; 670 Grams   Date First Available:11 March 2022   Manufacturer:Amazing Bags   ASIN:B09VCLZ3K4   Item model number:laptop bag   Country of Origin:India   Department:Unisex-adult   Manufacturer:Amazing Bags   Item Weight:670 g   Item Dimensions LxWxH:22 x 30 x 50 Centimeters  ,B09VCLZ3K4,Amazing Bags
Northzone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,"  Care Instructions: Machine Wash    Sleek, Stylish and Premium: Heavy duty ultra premium bag with exterior dimensions 44x29x15 cms. Made of Durable Polyester Fabric with Double zippers. sturdy durable, scratch resistant.; Multi Utility Bag: It is not only a student backpack, but also can be used as a business/work backpack, travelling, office, computer bag, hiking bag, daily bag and a lot more.    Storage Space: There is a separate laptop compartment inside the backpack that can hold upto 15.6 inches laptop. The internal packaging compartment and external pockets can hold daily necessities, keeping your items organized and easier to find.    Quick Storage: The front and side zipper pockets of the backpack are convenient for storing tablets, diaries, pens and pencils, smartphones, cards, change, etc. The side pockets of the backpack are convenient for storing compact umbrellas and other small items.   ","  Product Dimensions:48 x 32 x 15 cm; 1 Kilograms   Date First Available:12 January 2023   Manufacturer:SHABA BAGS   ASIN:B0BS6QQZYN   Item model number:DB01   Country of Origin:India   Department:Unisex-adult   Manufacturer:SHABA BAGS, SHABA BAGS 9354115195   Item Weight:1 kg   Item Dimensions LxWxH:48 x 32 x 15 Centimeters   Net Quantity:1.00 count  ",B0BS6QQZYN,SHABA BAGS
